shipment_ref,origin_port,destination_port,distance_km,transit_time_days,container_type,cargo_type,weight_kg,volume_cbm,carrier_tier,departure_month,seasonality_index,brent_fuel_index,market_demand_factor,actual_freight_price_usd
SHP-10000,Santos,Rotterdam,10122.3,19,40ft_Standard,Electronics,21256.5,56.7,Tier_1_Alliance,9,1.25,75.1,1.11,8848.58
SHP-10001,Chennai,Rotterdam,11418.7,22,20ft_Standard,Automotive,15888.4,27.6,Tier_1_Alliance,7,1.05,79.9,1.2,5543.79
SHP-10002,Chennai,Rotterdam,11551.8,22,LCL_Consolidated,Hazardous_Chemicals,1199.7,13.5,Tier_2_Regional,6,1.05,75.7,1.09,3801.28
SHP-10003,Shanghai,Rotterdam,19569.5,31,40ft_HighCube,General_Dry,18269.6,48.9,Tier_3_Spot,7,1.05,74.8,1.04,6456.27
SHP-10004,Santos,Rotterdam,10223.7,19,40ft_Standard,Textiles,8824.8,42.3,Tier_1_Alliance,5,1.05,107.5,1.34,7298.62
SHP-10005,Nhava Sheva,New York,14176.0,28,40ft_HighCube,Electronics,16394.9,65.8,Tier_2_Regional,12,1.05,105.7,1.23,9031.67
SHP-10006,Singapore,Fremantle,3927.0,11,40ft_Standard,Electronics,14830.2,66.7,Tier_2_Regional,11,1.05,96.8,1.0,5417.51
SHP-10007,Shanghai,Rotterdam,19568.6,27,40ft_Standard,General_Dry,15221.0,37.1,Tier_2_Regional,10,1.25,103.5,1.05,7666.93
SHP-10008,Santos,Rotterdam,10199.8,20,40ft_Standard,Hazardous_Chemicals,12439.3,53.0,Tier_1_Alliance,5,1.05,98.9,1.11,9028.73
SHP-10009,Singapore,Fremantle,3879.9,8,40ft_Standard,Automotive,9636.4,36.5,Tier_2_Regional,2,0.9,77.5,0.97,3434.7
SHP-10010,Santos,Rotterdam,10184.4,17,LCL_Consolidated,Perishable_Reefer,4982.5,8.3,Tier_3_Spot,9,1.25,103.0,0.89,3333.02
SHP-10011,Busan,Long Beach,9322.9,16,40ft_HighCube,Textiles,12007.9,58.5,Tier_2_Regional,8,1.25,72.1,1.27,8007.75
SHP-10012,Busan,Long Beach,9352.7,16,40ft_Standard,Automotive,23669.3,44.6,Tier_1_Alliance,11,1.05,90.3,0.99,6216.64
SHP-10013,Shanghai,Rotterdam,19552.5,31,20ft_Standard,Automotive,11794.9,17.0,Tier_2_Regional,6,1.05,103.6,1.33,6765.05
SHP-10014,Singapore,Dubai,5847.9,10,20ft_Standard,General_Dry,11747.8,16.2,Tier_3_Spot,9,1.25,99.6,0.95,3043.59
SHP-10015,Chennai,Colombo,739.4,3,40ft_HighCube,Automotive,17616.5,51.6,Tier_3_Spot,9,1.25,99.2,1.25,6824.17
SHP-10016,Busan,Long Beach,9362.3,14,LCL_Consolidated,Automotive,1044.5,4.7,Tier_2_Regional,6,1.05,72.8,1.18,2449.9
SHP-10017,Singapore,Fremantle,3844.0,7,20ft_Standard,Electronics,19297.6,30.5,Tier_1_Alliance,2,0.9,90.5,1.03,3536.61
SHP-10018,Chennai,Colombo,592.8,3,LCL_Consolidated,Electronics,4133.7,4.3,Tier_2_Regional,2,0.9,95.7,1.07,1165.34
SHP-10019,Hamburg,Singapore,15793.4,23,20ft_Standard,General_Dry,16107.8,29.4,Tier_2_Regional,2,0.9,81.0,0.98,3637.53
SHP-10020,Chennai,Colombo,578.0,3,40ft_HighCube,Perishable_Reefer,25740.7,47.3,Tier_1_Alliance,9,1.25,75.5,1.23,9747.98
