Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00001,Bengaluru,Los Angeles,Sea,Textiles,6940,18.22,3137,LCL,102.31,Off_Peak,Carrier_C,5,53590
SHP00002,Bengaluru,Dubai,Road,Furniture,929,3.44,6730,40FT_HC,99.11,Normal,Carrier_E,15,94499
SHP00003,Mumbai,Hamburg,Air,Pharmaceuticals,2170,7.79,8699,AIR_CARGO,83.66,Normal,Carrier_B,17,209743
SHP00004,Kolkata,London,Sea,Furniture,1444,4.2,8016,40FT,110.36,Peak,Carrier_D,16,106793
SHP00005,Chennai,Singapore,Sea,Furniture,8398,15.78,3295,LCL,93.43,Normal,Carrier_C,12,52618
SHP00006,Chennai,Colombo,Sea,Textiles,3440,6.78,972,AIR_CARGO,80.08,Normal,Carrier_A,4,26526
SHP00007,Kolkata,New York,Sea,Chemicals,4462,12.75,3404,20FT,83.52,Normal,Carrier_D,10,45089
SHP00008,Hyderabad,Rotterdam,Road,Machinery,3407,4.11,11816,40FT_HC,96.59,Normal,Carrier_B,22,148842
SHP00009,Mumbai,Singapore,Sea,Textiles,3191,3.09,2621,LCL,88.54,Peak,Carrier_A,4,43499
SHP00010,Mumbai,Dubai,Air,Food Products,1426,2.18,5840,40FT,109.05,Peak,Carrier_B,12,263674
SHP00011,Mumbai,Colombo,Sea,Textiles,1870,5.54,7841,20FT,94.79,Normal,Carrier_C,13,69156
SHP00012,Chennai,New York,Road,Food Products,2619,0.5,10614,40FT_HC,111.61,Peak,Carrier_D,20,194421
SHP00013,Bengaluru,Dubai,Air,Furniture,1640,2.93,9243,LCL,79.07,Normal,Carrier_E,19,190168
SHP00014,Ahmedabad,Rotterdam,Sea,Pharmaceuticals,1455,5.54,10953,AIR_CARGO,101.74,Normal,Carrier_C,22,97429
SHP00015,Hyderabad,Jebel Ali,Sea,Textiles,2187,8.07,7450,40FT_HC,110.43,Normal,Carrier_C,16,89983
SHP00016,Pune,Hamburg,Sea,Food Products,1687,0.5,10451,LCL,86.72,Normal,Carrier_E,22,71311
SHP00017,Mumbai,Jebel Ali,Sea,Textiles,2582,7.64,3534,40FT_HC,80.43,Off_Peak,Carrier_E,6,40924
SHP00018,Chennai,New York,Sea,Pharmaceuticals,1875,8.44,5451,LCL,93.27,Normal,Carrier_A,10,55572
SHP00019,Chennai,Jebel Ali,Sea,Furniture,1602,6.24,10203,AIR_CARGO,113.45,Off_Peak,Carrier_B,16,101043
SHP00020,Pune,New York,Sea,Textiles,1368,1.61,4244,40FT_HC,100.34,Normal,Carrier_C,9,63347
SHP00021,Bengaluru,London,Sea,Automotive Parts,2510,0.5,10519,LCL,100.76,Normal,Carrier_A,23,94027
SHP00022,Pune,London,Sea,Food Products,4453,11.44,4676,20FT,101.86,Normal,Carrier_A,13,70988
SHP00023,Kolkata,Shanghai,Sea,Pharmaceuticals,3817,15.4,4679,40FT,76.59,Normal,Carrier_C,11,41699
SHP00024,Kolkata,Shanghai,Sea,Food Products,927,5.5,4054,LCL,92.83,Normal,Carrier_B,12,46521
SHP00025,Ahmedabad,Jebel Ali,Sea,Food Products,4372,13.43,6790,LCL,78.1,Normal,Carrier_E,15,55319
SHP00026,Pune,Los Angeles,Air,Electronics,3799,9.72,1984,LCL,87.63,Normal,Carrier_C,6,110454
SHP00027,Ahmedabad,Jebel Ali,Sea,Pharmaceuticals,4451,14.18,921,40FT_HC,107.86,Normal,Carrier_B,2,60819
SHP00028,Mumbai,Jebel Ali,Sea,Textiles,5056,13.25,10820,40FT,101.25,Peak,Carrier_E,17,123405
SHP00029,Ahmedabad,Los Angeles,Sea,Food Products,1558,0.5,11183,40FT_HC,114.82,Normal,Carrier_D,25,129552
SHP00030,Mumbai,Hamburg,Sea,Chemicals,2057,8.46,1376,LCL,81.89,Normal,Carrier_C,4,31099
SHP00031,Hyderabad,Colombo,Sea,Electronics,8005,15.61,6822,LCL,90.88,Normal,Carrier_C,17,71096
SHP00032,Ahmedabad,Los Angeles,Sea,Automotive Parts,7702,18.61,6706,40FT,107.39,Peak,Carrier_B,12,105306
SHP00033,Bengaluru,New York,Sea,Food Products,2379,8.62,4783,20FT,83.63,Normal,Carrier_A,16,44472
SHP00034,Mumbai,Colombo,Road,Furniture,3700,5.81,7042,40FT_HC,81.15,Off_Peak,Carrier_A,14,71088
SHP00035,Bengaluru,Rotterdam,Road,Food Products,3916,5.38,5768,20FT,92.1,Peak,Carrier_B,11,94757
SHP00036,Chennai,Hamburg,Air,Electronics,7836,20.57,6131,LCL,90.35,Off_Peak,Carrier_C,13,230126
SHP00037,Mumbai,Rotterdam,Sea,Textiles,3129,3.0,9186,LCL,114.21,Normal,Carrier_C,19,98791
SHP00038,Chennai,Shanghai,Sea,Chemicals,1137,1.94,6549,AIR_CARGO,93.25,Off_Peak,Carrier_C,14,50303
SHP00039,Delhi,Singapore,Air,Furniture,1835,8.88,4222,AIR_CARGO,109.44,Normal,Carrier_D,9,199789
SHP00040,Bengaluru,London,Sea,Automotive Parts,19165,52.14,7187,20FT,110.52,Off_Peak,Carrier_A,11,112151
SHP00041,Delhi,Rotterdam,Sea,Furniture,1103,0.5,7869,AIR_CARGO,81.31,Normal,Carrier_D,15,53011
SHP00042,Mumbai,Dubai,Sea,Food Products,2583,5.28,8117,40FT,103.61,Peak,Carrier_C,19,91262
SHP00043,Chennai,Jebel Ali,Sea,Textiles,11247,31.86,7611,20FT,86.1,Peak,Carrier_A,14,82814
SHP00044,Mumbai,New York,Road,Pharmaceuticals,1487,1.95,8143,AIR_CARGO,78.79,Normal,Carrier_C,13,73089
SHP00045,Delhi,Rotterdam,Sea,Chemicals,425,4.18,4066,AIR_CARGO,109.99,Peak,Carrier_C,7,65855
SHP00046,Pune,Rotterdam,Air,Pharmaceuticals,479,4.61,5631,40FT,86.7,Normal,Carrier_B,12,146740
SHP00047,Pune,Singapore,Sea,Chemicals,1492,1.11,8190,40FT,88.81,Off_Peak,Carrier_A,15,60695
SHP00048,Mumbai,Shanghai,Sea,Automotive Parts,795,3.61,9175,20FT,87.96,Normal,Carrier_C,18,64567
SHP00049,Hyderabad,Jebel Ali,Sea,Machinery,4906,13.64,5493,40FT_HC,83.01,Normal,Carrier_E,10,53740
SHP00050,Kolkata,Jebel Ali,Sea,Chemicals,2976,10.73,4701,40FT,92.38,Normal,Carrier_E,13,61529
SHP00051,Delhi,Singapore,Road,Machinery,625,0.5,8733,AIR_CARGO,92.13,Normal,Carrier_C,19,88876
SHP00052,Mumbai,Los Angeles,Air,Pharmaceuticals,886,7.28,3055,20FT,91.35,Peak,Carrier_B,12,126371
SHP00053,Chennai,Singapore,Road,Chemicals,5598,16.08,609,40FT_HC,111.65,Normal,Carrier_C,2,63998
SHP00054,Mumbai,Dubai,Road,Automotive Parts,2834,2.23,5918,20FT,88.59,Off_Peak,Carrier_E,12,64560
SHP00055,Pune,Colombo,Sea,Electronics,6348,14.6,2494,AIR_CARGO,76.22,Normal,Carrier_A,9,32117
SHP00056,Chennai,Dubai,Road,Automotive Parts,5174,15.67,4850,40FT_HC,82.14,Normal,Carrier_B,12,63248
SHP00057,Kolkata,Singapore,Sea,Automotive Parts,1183,0.5,3849,40FT_HC,103.86,Normal,Carrier_C,7,60142
SHP00058,Mumbai,London,Sea,Electronics,4435,6.86,9439,40FT,98.63,Normal,Carrier_E,20,95810
SHP00059,Ahmedabad,Los Angeles,Sea,Electronics,3604,8.66,4311,LCL,113.07,Normal,Carrier_A,11,67369
SHP00060,Pune,London,Sea,Textiles,698,0.5,7868,AIR_CARGO,102.78,Normal,Carrier_E,13,73789
SHP00061,Ahmedabad,Dubai,Sea,Chemicals,1031,3.46,8250,LCL,82.77,Peak,Carrier_B,16,65328
SHP00062,Kolkata,Jebel Ali,Sea,Pharmaceuticals,12192,32.32,5749,AIR_CARGO,79.83,Normal,Carrier_D,13,69880
SHP00063,Delhi,Dubai,Air,Textiles,1368,4.35,1432,20FT,95.83,Peak,Carrier_C,7,94058
SHP00064,Chennai,Hamburg,Sea,Electronics,3267,7.74,8554,LCL,101.61,Normal,Carrier_A,19,86496
SHP00065,Ahmedabad,Shanghai,Sea,Machinery,2209,8.57,1364,40FT_HC,81.63,Normal,Carrier_B,3,27785
SHP00066,Hyderabad,New York,Sea,Pharmaceuticals,2817,6.29,1641,40FT,99.07,Normal,Carrier_B,4,43007
SHP00067,Delhi,Hamburg,Sea,Machinery,2306,2.51,2754,AIR_CARGO,109.6,Normal,Carrier_D,9,61954
SHP00068,Chennai,Singapore,Air,Automotive Parts,4682,15.77,3724,40FT,104.1,Normal,Carrier_D,4,232992
SHP00069,Pune,Rotterdam,Sea,Food Products,4603,1.28,10234,AIR_CARGO,101.57,Normal,Carrier_C,19,100063
SHP00070,Pune,London,Road,Automotive Parts,2699,6.68,8262,40FT_HC,106.57,Off_Peak,Carrier_C,20,114858
SHP00071,Pune,Colombo,Air,Automotive Parts,1389,1.85,4953,40FT_HC,79.16,Peak,Carrier_B,12,150274
SHP00072,Kolkata,Hamburg,Sea,Food Products,1727,0.5,11754,40FT_HC,83.15,Normal,Carrier_C,22,76201
SHP00073,Ahmedabad,Los Angeles,Sea,Chemicals,898,3.33,3301,40FT_HC,76.52,Normal,Carrier_C,6,31434
SHP00074,Pune,London,Air,Electronics,2012,6.63,7513,40FT_HC,80.8,Off_Peak,Carrier_D,17,173033
SHP00075,Bengaluru,Hamburg,Air,Machinery,793,0.5,10243,40FT,111.53,Normal,Carrier_B,21,346152
SHP00076,Pune,Jebel Ali,Air,Automotive Parts,2882,1.28,9723,20FT,83.89,Normal,Carrier_E,19,235376
SHP00077,Mumbai,New York,Air,Food Products,3030,1.99,1539,LCL,101.48,Peak,Carrier_E,6,148079
SHP00078,Kolkata,Dubai,Sea,Textiles,4805,18.69,8519,40FT,102.66,Normal,Carrier_A,18,97060
SHP00079,Chennai,Dubai,Sea,Automotive Parts,1131,10.39,3465,LCL,100.81,Normal,Carrier_D,8,52991
SHP00080,Chennai,Hamburg,Sea,Machinery,1182,2.93,4591,20FT,97.16,Normal,Carrier_A,8,52728
SHP00081,Chennai,Singapore,Road,Electronics,6735,10.55,6123,AIR_CARGO,94.45,Normal,Carrier_B,11,102965
SHP00082,Chennai,Los Angeles,Sea,Automotive Parts,1027,1.86,9594,20FT,91.8,Peak,Carrier_E,21,87786
SHP00083,Mumbai,Singapore,Sea,Automotive Parts,9484,13.78,2411,20FT,111.68,Normal,Carrier_E,8,75736
SHP00084,Delhi,London,Sea,Chemicals,1371,4.52,1748,AIR_CARGO,75.38,Peak,Carrier_E,6,31174
SHP00085,Hyderabad,Shanghai,Sea,Furniture,1378,0.5,2265,LCL,77.14,Off_Peak,Carrier_A,5,28003
SHP00086,Bengaluru,New York,Sea,Food Products,4324,5.45,3010,40FT_HC,94.7,Off_Peak,Carrier_C,9,51120
SHP00087,Mumbai,New York,Air,Textiles,3573,12.42,1184,AIR_CARGO,88.22,Normal,Carrier_A,3,104240
SHP00088,Chennai,Dubai,Sea,Textiles,7267,16.69,11153,AIR_CARGO,91.33,Normal,Carrier_E,25,93538
SHP00089,Mumbai,New York,Road,Pharmaceuticals,731,5.2,4169,20FT,114.91,Off_Peak,Carrier_D,8,78388
SHP00090,Kolkata,Singapore,Sea,Electronics,3537,13.25,2535,AIR_CARGO,106.01,Peak,Carrier_D,6,63719
SHP00091,Hyderabad,Los Angeles,Sea,Pharmaceuticals,2426,5.42,7835,40FT,110.1,Normal,Carrier_A,16,88084
SHP00092,Chennai,Los Angeles,Air,Machinery,1242,2.94,9550,40FT_HC,89.74,Off_Peak,Carrier_A,21,211092
SHP00093,Bengaluru,Dubai,Air,Electronics,8493,24.45,9162,20FT,84.58,Normal,Carrier_B,19,295218
SHP00094,Chennai,Hamburg,Sea,Automotive Parts,2913,4.78,8765,LCL,105.72,Peak,Carrier_A,18,105042
SHP00095,Hyderabad,Los Angeles,Air,Furniture,2400,10.33,1081,LCL,107.3,Normal,Carrier_A,3,111991
SHP00096,Bengaluru,Singapore,Sea,Automotive Parts,3358,0.5,9495,LCL,97.0,Off_Peak,Carrier_E,20,81734
SHP00097,Hyderabad,Rotterdam,Sea,Textiles,813,0.52,6272,LCL,110.84,Peak,Carrier_C,13,86372
SHP00098,Bengaluru,Hamburg,Sea,Machinery,1110,3.39,7964,LCL,113.69,Normal,Carrier_E,15,87401
